#symptoms;procedure
arm_pain;radiographic_imaging_procedure
arm_pain;plain_x-ray
arm_pain;electrocardiogram
arm_pain,elbow_pain;radiographic_imaging_procedure
arm_pain,arm_swelling;plain_x-ray
arm_pain,elbow_pain,arm_swelling;radiographic_imaging_procedure
arm_pain,elbow_pain,arm_swelling;plain_x-ray
arm_pain,wrist pain;electrocardiogram
arm_pain,wrist_pain,wrist_swelling;plain_x-ray
wrist_pain;radiographic_imaging_procedure
wrist_pain;plain_x-ray
wrist_pain;application_of_splint
wrist_pain,wrist_stiffnes_or_tightness;physical_therapy_exercises
wrist_pain,wrist_swelling;radiographic_imaging_procedure
wrist_pain,wrist_swelling;magnetic_resonance_imaging
wrist_pain,hand_or_finger_pain,wrist_stiffnes_or_tightness;physical_therapy_exercises
shoulder_pain;radiographic_imaging_procedure
shoulder_pain;plain_x-ray
shoulder_pain;physical_therapy_exercises
shoulder_pain,shoulder_stiffness_or_tightness;radiographic_imaging_procedure
shoulder_pain,shoulder_stiffness_or_tightness,arm pain;plain_x-ray
shoulder_pain,shoulder_stiffness_or_tightness;physical_therapy_exercises
shoulder_pain,shoulder_stiffness_or_tightness;application_of_splint
elbow_pain;radiographic_imaging_procedure
elbow_pain;plain_x-ray
elbow_pain;application_of_splint
elbow_pain,elbow_swelling;radiographic_imaging_procedure
elbow_pain,elbow_swelling,elbow_stiffness_or_tightness;plain_x-ray
elbow_pain,elbow_stiffness_or_tightness;physical_therapy_exercises
elbow_pain,elbow_swelling,elbow_stiffness_or_tightness,wrist_pain,elbow_swelling;magnetic_resonance_imaging
wrist_swelling;radiographic_imaging_procedure
wrist_swelling;plain_x-ray
wrist_swelling;application_of_splint
wrist_swelling,wrist_stiffnes_or_tightness;radiographic_imaging_procedure
wrist_swelling,wrist_stiffnes_or_tightness,wrist_pain;plain_x-ray
wrist_swelling,wrist_stiffnes_or_tightness;physical_therapy_exercises
wrist_swelling,wrist_pain,arm_pain,arm_swelling,hand_or_finger_pain,hand_or_finger_swelling;orthopedic_casting
arm_swelling;radiographic_imaging_procedure
arm_swelling;complete_blood_count
arm_swelling;plain_x-ray
arm_swelling,arm_pain,arm_stiffnes_or_tightness;plain_x-ray
arm_swelling,arm_pain,arm_stiffnes_or_tightness,hand_or_finger pain;radiographic_imaging_procedure
elbow_swelling;radiographic_imaging_procedure
elbow_swelling;plain_x-ray
elbow_swelling;application_of_splint
elbow_swelling,elbow_pain,elbow_stiffness_or_tightness;radiographic_imaging_procedure
elbow_swelling,elbow_pain,elbow_stiffness_or_tightness,wrist_pain,wrist_swelling;plain_x-ray
